"id","summary_title","venue","venueURI","venueAPIURI","venueID","earliestDate","latestDate","URI","apiURI"
"exhibition-10","Leonardo da Vinci, Quicentenary Exhibition","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1952","1952","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-10","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-10"
"exhibition-100","International Inventions Loan Exhibition","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1885","1885","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-100","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-100"
"exhibition-1000","(Tate Gallery, 1982)","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1982","1982","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-1000","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-1000"
"exhibition-1001","Treasures for the Nation, Conserving our Heritage","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1988","1902","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-1001","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-1001"
"exhibition-1002","Peintures anglaises des Collections d' York et du Yorkshire","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-1002","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-1002"
"exhibition-1003","XXVI Biennale","Venice","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106518","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106518","term-106518","1952","1952","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-1003","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-1003"
"exhibition-1004","Exposition Graham Sutherland","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-1004","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-1004"
"exhibition-1005","Graham Sutherland","Zürich","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106433","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106433","term-106433","1953","1953","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-1005","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-1005"
"exhibition-1006","Sutherland","Amsterdam","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106501","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106501","term-106501","1953","1953","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-1006","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-1006"
"exhibition-1007","Sutherland (1955)","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-1007","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-1007"
"exhibition-1008","Sutherland (1965)","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-1008","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-1008"
"exhibition-1009","Sutherland (1966)","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-1009","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-1009"
"exhibition-101","National Portraits","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1867","1867","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-101","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-101"
"exhibition-1011","La Maddelena tra sacroe profano","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-1011","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-1011"
"exhibition-1012","Les Figures de la Liberté","Geneva","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-107421","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-107421","term-107421","1995","1996","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-1012","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-1012"
"exhibition-1013","Modern Art and the Religious Imagination","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-1013","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-1013"
"exhibition-1014","L' Art en Europe 1946-1956","Saint Etienne","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-108846","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-108846","term-108846","1987","1902","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-1014","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-1014"
"exhibition-1015","Graham Sutherland (1962)","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1962","1962","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-1015","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-1015"
