"id","summary_title","description","created","modified","URI","apiURI","parentTitle","parentURI","parentAPIURI","relatedTitle","relatedURI","relatedAPIURI"
"term-10373","Koryo Dynasty","NULL","974419200000","1312636116000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10373","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10373","<Korean periods>","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10384","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10384","NULL","NULL","NULL"
"term-10537","Kassite","NULL","1312632483000","1312648407000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10537","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10537","<Mesopotamian periods>","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10539","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10539","NULL","NULL","NULL"
"term-10542","Seleucid","NULL","1159747200000","1312659725000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10542","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10542","<Persian periods>","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10547","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10547","Seleucia","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-121728","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-121728"
"term-10543","Achaemenid","NULL","1312632483000","1621420805000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10543","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10543","<Persian periods>","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10547","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10547","NULL","NULL","NULL"
"term-10546","Parthian","NULL","1312632483000","1312648259000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10546","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10546","<Persian periods>","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10547","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10547","NULL","NULL","NULL"
"term-10549","Sassanian","NULL","1159747200000","1599482385000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10549","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10549","<Persian periods>","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10547","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10547","Sogdian Coins of Bukhara","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-117929","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-117929"
"term-10575","Ptolemaic","NULL","1220918400000","1312659623000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10575","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10575","<Egyptian periods>","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10577","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10577","Kings of Egypt","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-119611","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-119611"
"term-10591","Byzantine","Refers to the style and period of Christian art that developed in the easstern Mediterranean during the Byzantine Empire (330 - 1453 CE), was carried throughout much of the Christian world, and lasted into the 16th century in eastern Europe. The style is characterized by imperial and religious subject matter, and a movement away from the original Greek naturalistic forms to favor ritualistic stylization, intended to suggest the spiritual. For the style and period of the Italian and western Mediterranean Christian world roughly from the foruth to the mid-eighth century CE, use ""Early Christian.""","1159747200000","1312659817000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10591","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10591","<Early Christian-Byzantine styles and periods>","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-9000","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-9000","Early Christian","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-8999","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-8999"
"term-10596","Late Medieval","Use with reference to the period c.1250 to as late as 1500 where the terms ""Gothic (Medieval)"" or ""Late Gothic"" are not appropriate.","1.265328e+12","1312637976000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10596","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10596","Medieval","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10603","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10603","NULL","NULL","NULL"
"term-10603","Medieval","Refers to the period in the Christianized Roman Empire from roughly the fifth to the fifteenth century CE. The variety of styles that developed during this period are generally characterized by an evolution of the Greco-Roman tradition to incorporate Christian themes, the energetic spirit of the Celtic and Germanic peoples, and the thriving new towns populated by free men.","986774400000","1185535094000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10603","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-10603","<Medieval styles and periods>","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-9173","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-9173","NULL","NULL","NULL"
