"id","summary_title","coords","lat","lng","URI","apiURI"
"term-10445","Deccan","53.4485,-2.3558","53.4485","-2.3558","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10445","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-10445"
"term-10449","Agra","27.1753,78.0098","27.1753","78.0098","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10449","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-10449"
"term-10510","Sawankhalok","17.3147,99.8323","17.3147","99.8323","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-10510","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-10510"
"term-106176","Cambridge (Cambs.)","52.1976,0.1392","52.1976","0.1392","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106176","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106176"
"term-106216","London","51.5073,-0.1276","51.5073","-0.1276","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216"
"term-106233","Glasgow","55.861,-4.2489","55.861","-4.2489","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106233","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106233"
"term-106290","Messina","38.1938,15.5542","38.1938","15.5542","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106290","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106290"
"term-106294","unknown","-7.8345,112.4178","-7.8345","112.4178","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106294","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106294"
"term-106296","Wye","51.7242,-2.6818","51.7242","-2.6818","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106296","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106296"
"term-106304","Deutz","50.9368,6.973","50.9368","6.973","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106304","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106304"
"term-106317","Sherborne","50.9487,-2.5198","50.9487","-2.5198","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106317","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106317"
"term-106323","Lausanne","46.5218,6.6327","46.5218","6.6327","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106323","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106323"
"term-106324","Perugia","43.107,12.403","43.107","12.403","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106324","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106324"
"term-106328","Cologne","50.9384,6.96","50.9384","6.96","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106328","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106328"
"term-106364","Lavenham","52.11,0.7979","52.11","0.7979","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106364","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106364"
"term-106366","Rome","41.8933,12.4829","41.8933","12.4829","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106366","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106366"
"term-106395","Fulham","51.4744,-0.2061","51.4744","-0.2061","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106395","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106395"
"term-106398","Wareham","50.6869,-2.1098","50.6869","-2.1098","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106398","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106398"
"term-106404","Verona","45.4385,10.9924","45.4385","10.9924","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106404","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106404"
"term-106406","Essex","51.7705,0.4647","51.7705","0.4647","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106406","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106406"
"term-106427","Devon","50.7241,-3.6608","50.7241","-3.6608","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106427","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106427"
"term-106433","Zürich","47.3744,8.541","47.3744","8.541","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106433","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106433"
"term-106442","Avignon","43.9492,4.8059","43.9492","4.8059","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106442","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106442"
"term-106501","Amsterdam","52.3728,4.8936","52.3728","4.8936","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106501","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106501"
"term-106508","Florence","43.7699,11.2556","43.7699","11.2556","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106508","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106508"
"term-106509","Leipzig","51.3406,12.3747","51.3406","12.3747","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106509","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106509"
"term-106511","Milan","45.4642,9.1896","45.4642","9.1896","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106511","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106511"
"term-106516","Munich","48.1371,11.5754","48.1371","11.5754","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106516","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106516"
"term-106518","Venice","45.4372,12.3346","45.4372","12.3346","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106518","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106518"
"term-106526","Arundel","50.8545,-0.5648","50.8545","-0.5648","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106526","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106526"
"term-106528","León","42.6341,-5.9714","42.6341","-5.9714","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106528","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106528"
"term-106529","Mérida","38.9175,-6.3444","38.9175","-6.3444","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106529","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106529"
"term-106531","Broughton","53.5687,-0.5435","53.5687","-0.5435","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106531","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106531"
"term-106534","Santiago de Compostela","42.8804,-8.5459","42.8804","-8.5459","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106534","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106534"
"term-106540","Bologna","44.4938,11.3426","44.4938","11.3426","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106540","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106540"
"term-106541","Ferrara","44.7668,11.8279","44.7668","11.8279","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106541","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106541"
"term-106544","New York","40.7127,-74.006","40.7127","-74.006","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106544","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106544"
"term-106545","Naples","40.8359,14.2488","40.8359","14.2488","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106545","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106545"
"term-106546","Turin","45.0678,7.6825","45.0678","7.6825","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106546","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106546"
