"id","summary_title","publicationPlace","publicationDate","URI","apiURI"
"publication-1","[Vasari Society, 2nd Series]","Oxford","1920","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1"
"publication-10","William Strang R. A., L. L. D., catalogue of his etchings and engravings","Glasgow","1962","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-10","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-10"
"publication-1001","Classical Gems, Ancient and Modern Intaglios and Cameos in the Fitzwilliam Museum, Cambridge","Cambridge (Cambs.)","1994","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1001","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1001"
"publication-1002","Catalogue of Cameos","NULL","1774","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1002","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1002"
"publication-1003","Italian Renaissance and Baroque Sculpture","London","1970","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1003","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1003"
"publication-1005","The Oxford Classical Dictionary","Oxford","1970","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1005","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1005"
"publication-1008","Wedgwood of Etruria and Barlaston","Stoke-on-Trent","1980","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1008","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1008"
"publication-1009","Doctor of Revolution, The Life and Genius of Erasmus Darwin","London?","1977","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1009","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1009"
"publication-101","Handbook and Guide to the Fitzwilliam Museum, Cambridge","Cambridge (Cambs.)","1952","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-101","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-101"
"publication-1010","Josiah Wedgwood: 'the Arts and Sciences United'","NULL","1978","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1010","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1010"
"publication-1011","Taste and the Antique. The Lure of Classical Sculpture 1500-1900","New Haven and London","1982","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1011","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1011"
"publication-1012","Benjamin Franklin in Portraiture","New Haven and London","1962","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1012","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1012"
"publication-1013","Victoria and Albert Museum Department of Ceramics, Catalogue of English Porcelain, Earthenware, Enamels and Glass collected by Charles Schreiber Esq., M.P.,  and the Lady Charlotte Elizabeth Schreiber, and presented to the Museum in 1884, Volume I, Porcelain","London","1928","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1013","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1013"
"publication-1014","The Shadow of the Guillotine, Britain and the French Revolution","London","1989","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1014","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1014"
"publication-1015","David Le Marchand 1674-1726, An Ingenious Man for Carving Ivory","London?","1996","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1015","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1015"
"publication-1016","Catalogue of cameos, intaglios, medals, bas-reliefs, busts, and small statutes; with a general account of tablets, vases, escritoires, and other ornamental and useful articles. The whole formed in different kinds of porcelain and terra-cotta, chiefly after the antique and the first models of modern artists. By Josiah Wedgwood FRS, potter to Her Majesty, and to His Royal Highness the Duke of York and Albany. Sold at his rooms in Greek Str., Soho, London, and at his manufactory in Staffordshire.","Etruria","1787","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1016","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1016"
"publication-1017","The Selected Letters of Josiah Wedgwood","London","1965","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1017","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1017"
"publication-1018","18th Century Wedgwood, A Guide for Collectors & Connoisseurs","London","1980","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1018","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1018"
"publication-102","Painting of the Month","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-102","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-102"
"publication-1020","L'Antiquité expliqué et representée en figures","Colmar, Paris","1719","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1020","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1020"
"publication-1021","Decorative Wedgwood in Architecture and Furniture","London","1965","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1021","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1021"
"publication-1022","John Flaxman, R.A.","London","1979","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1022","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1022"
"publication-1023","Führer durch die öffentlichen Sammlungen klassicher Altertümer in Rom","Leipzig","1899","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1023","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1023"
"publication-1024","Classical Wedgwood Designs","New York","1957","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1024","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1024"
"publication-1025","Lord Leverhulme","London","1980","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1025","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1025"
"publication-1026","Raccolta di statue antiche e moderne, data in luce . . . da Domenico de Ross","Rome","1704","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1026","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1026"
"publication-1027","Wedgwood and His Works","London","1873","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1027","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1027"
"publication-1028","Catalogue of the Ancient Sculptures of the Museo Capitolino","NULL","1912","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1028","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1028"
"publication-1029","Fitzwilliam Museum, Cambridge. The Annual Reports of the Syndicate and of the Friends of the Fitzwilliam for the Year Ending 31 December 1984","Cambridge (Cambs.)","1985","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1029","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1029"
"publication-103","Tutta la Pittura del Perugino","NULL","1959","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-103","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-103"
"publication-1030","Fitzwilliam Museum Handbooks, English Pottery","Cambridge (Cambs.)","1995","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1030","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1030"
"publication-1031","Catalogue of the Glaisher Collection of Pottery and Porcelain in the Fitzwilliam Museum Cambridge","Cambridge (Cambs.)","1935 (reprinted Antique Collectors' Club, Woodbridge, 1987)","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1031","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1031"
"publication-1032","Suite de Vases composée dans le Goût de l'Antique","Colmar, Paris","1760","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1032","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1032"
"publication-1033","Some English Vases and their sources, Part I","NULL","1978","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1033","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1033"
"publication-1034","Mr Wedgwood","Nottingham","1975","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1034","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1034"
"publication-1035","Wedgwood Ceramics 1846-1959","London","1982","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1035","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1035"
"publication-1036","Wedgwood Rarities","Merion","1969","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1036","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1036"
"publication-1037","Creamware and other English Pottery at Temple Newsam House, Leeds","Leeds (Yorks.)","1976","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1037","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1037"
"publication-1038","Creamware","London","1978","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1038","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1038"
"publication-1039","Hymns and Spiritual Songs in three books","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1039","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1039"
"publication-104","Pintoricchio","NULL","1902","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-104","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-104"
"publication-1040","Story of Wedgwood","London?","1975","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1040","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1040"
"publication-1041","The Delhom Gallery Guide, English Pottery","Charlotte, North Carolina","1982","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1041","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1041"
"publication-1042","Creamware Shapes","NULL","1817","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1042","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1042"
"publication-1044","Wedgwood","London","1989","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1044","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1044"
"publication-1045","Wedgwood Museum  Queen's ware shape Book","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1045","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1045"
"publication-1046","Wedgwood Ware","London","1948","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1046","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1046"
"publication-1047","Eric Ravilious Memoir of an Artist","London","1983","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1047","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1047"
"publication-1048","Victorian and Edwardian Decorative Art , The Handley-Read Collection","London","1972","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1048","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1048"
"publication-1049","Fantastic Illustration and Design in Britain 1850-1930","New York","1979","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1049","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1049"
"publication-105","Il Pintoricchio","NULL","1960","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-105","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-105"
"publication-1050","Beauty's Awakening, The Centenary Exhibition of the Art Workers Guild","NULL","1984","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1050","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1050"
"publication-1052","Pattern and Design, Designs for the Decorative Arts 1480-1980","London","1983","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1052","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1052"
"publication-1053","Paintings of the British Social Scene","London?","1986","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1053","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1053"
"publication-1054","Botanists' Repository","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1054","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1054"
"publication-1056","Botanical Magazine","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1056","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1056"
"publication-1058","Wedgwood Pattern Book","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1058","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1058"
"publication-1059","The Wedgwood Illustrated Catalogue of Ornamental Shapes 1878","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1059","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1059"
"publication-106","Sale Catalogue","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-106","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-106"
"publication-1060","Wedgwood Queen's ware Shape Book","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1060","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1060"
"publication-1061","Fairyland Lustre","London","1975","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1061","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1061"
"publication-1062","The Illustrated Guide to Mason's Patent Ironstone China: the related ware - 'stone china', 'new stone', 'granite china' - and their manufacturers","London","1971","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1062","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1062"
"publication-1063","The Wedgwood Handbook","London","1875","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1063","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1063"
"publication-1064","Life of Beau Brummel Esq. Commonly Called Beau Brummell","NULL","1844","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1064","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1064"
"publication-1065","Fitzwilliam Museum, Annual Report 1993","Cambridge (Cambs.)","1994","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1065","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1065"
"publication-1066","The 1817 Wedgwood Catalogue","NULL","1817","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1066","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1066"
"publication-1068","Wedgwood Shape Book","NULL","1794","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1068","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1068"
"publication-1069","William Greatbatch, a Staffordshire Potter","London","1991","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1069","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1069"
"publication-107","Christie's Since the War: An Essay in Taste, Patronage and Collecting","London","1959","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-107","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-107"
"publication-1070","Fitzgerald, Diciotto sculture 1970-1977","Venice","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-1070","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-1070"
